loss,amplitude_loss,delta_loss,gate_loss,sign_probability_loss,val_loss,val_amplitude_loss,val_delta_loss,val_gate_loss,val_sign_probability_loss,lr
0.3114435374736786,0.018683934584259987,0.025261152535676956,1.0322599411010742,0.0738288164138794,0.2936478555202484,0.013521868735551834,0.017288045957684517,1.0058430433273315,0.07128031551837921,0.001
0.2829287350177765,0.011011289432644844,0.012572639621794224,0.9862104654312134,0.07191775739192963,0.2710781991481781,0.008235122077167034,0.008878272026777267,0.9610747694969177,0.06997918337583542,0.001
0.26434847712516785,0.007026394829154015,0.0068990811705589294,0.943382740020752,0.07108435779809952,0.25576287508010864,0.0055207861587405205,0.005458750296384096,0.9195476770401001,0.06934718042612076,0.001
0.2509780824184418,0.0048906332813203335,0.004692279268056154,0.9035080671310425,0.07057122886180878,0.24369855225086212,0.003934547305107117,0.004100318532437086,0.8803579211235046,0.06888074427843094,0.001
0.2399073839187622,0.003633179236203432,0.003723639529198408,0.866003155708313,0.07017795741558075,0.23331567645072937,0.0030162688344717026,0.0033978973515331745,0.8438326120376587,0.06851569563150406,0.001
0.23012366890907288,0.0028619864024221897,0.0031772952061146498,0.8309003710746765,0.06986814737319946,0.22398823499679565,0.0024082502350211143,0.002952651120722294,0.8097937703132629,0.06823617219924927,0.001
0.2212844341993332,0.0023459491785615683,0.0028304471634328365,0.7982664704322815,0.06955943256616592,0.2154546082019806,0.0019824327901005745,0.002661647740751505,0.7779601216316223,0.0679454356431961,0.001
0.21323877573013306,0.0019735759124159813,0.0025771805085241795,0.7680286765098572,0.06936617940664291,0.20764152705669403,0.0016717338003218174,0.002441879129037261,0.7483972907066345,0.06775045394897461,0.001
0.20587269961833954,0.0016992933815345168,0.0023946198634803295,0.7400516271591187,0.06915190070867538,0.20049592852592468,0.0014404184184968472,0.002280972432345152,0.7211129665374756,0.067552849650383,0.001
0.19912825524806976,0.0014885906130075455,0.0022556697949767113,0.7142272591590881,0.0689694806933403,0.19395630061626434,0.0012574229622259736,0.0021545880008488894,0.696004331111908,0.06736724823713303,0.001
0.1929861307144165,0.0013273142976686358,0.00214957888238132,0.6905824542045593,0.06878545135259628,0.18796716630458832,0.0011168952332809567,0.002058460609987378,0.6729145646095276,0.06715887039899826,0.001
0.18735331296920776,0.0011960379779338837,0.0020563630387187004,0.6688452959060669,0.06861963123083115,0.18252085149288177,0.0010001787450164557,0.0019707917235791683,0.6518504619598389,0.067014679312706,0.001
0.18222598731517792,0.001092572114430368,0.001987825147807598,0.6489896178245544,0.06844009459018707,0.17748944461345673,0.0009087149519473314,0.0019106966210529208,0.6323588490486145,0.06679707020521164,0.001
