loss,amplitude_loss,delta_loss,gate_loss,sign_loss,val_loss,val_amplitude_loss,val_delta_loss,val_gate_loss,val_sign_loss,lr
0.4249431788921356,0.0686267763376236,0.12572959065437317,1.0319504737854004,0.1461779773235321,0.3899146616458893,0.05901200696825981,0.10098561644554138,1.004696249961853,0.13908416032791138,0.001
0.36176052689552307,0.05063176155090332,0.08084374666213989,0.9836708307266235,0.13467153906822205,0.33650684356689453,0.0442122183740139,0.06499544531106949,0.9566690921783447,0.12765257060527802,0.001
0.31638991832733154,0.038714807480573654,0.05171308293938637,0.9371563196182251,0.12373896688222885,0.29806703329086304,0.03472127392888069,0.041816726326942444,0.9110336899757385,0.1177072525024414,0.001
0.283695250749588,0.030983947217464447,0.033221978694200516,0.8932685256004333,0.11497844755649567,0.2700047492980957,0.02832908369600773,0.0272014569491148,0.8681684732437134,0.11004134267568588,0.001
0.2599702775478363,0.02574104815721512,0.02182677388191223,0.8528675436973572,0.10873112082481384,0.24975620210170746,0.02405487559735775,0.018477441743016243,0.8293630480766296,0.1048828735947609,0.001
0.24259993433952332,0.02214432694017887,0.015151368454098701,0.8160368800163269,0.10468088835477829,0.23471315205097198,0.021078722551465034,0.013444396667182446,0.7941460013389587,0.10167418420314789,0.001
0.22942329943180084,0.01955241896212101,0.011295540258288383,0.7826701402664185,0.10234420001506805,0.22284391522407532,0.018837381154298782,0.010471849702298641,0.7619215250015259,0.0996786579489708,0.001
0.2188575714826584,0.01756661757826805,0.008984015323221684,0.7524538040161133,0.10086049139499664,0.2130206674337387,0.01712818071246147,0.008567471988499165,0.7325944304466248,0.09849011152982712,0.001
0.2099463790655136,0.016006512567400932,0.007449038792401552,0.7249494791030884,0.09999493509531021,0.20459230244159698,0.015782086178660393,0.007248979993164539,0.7058851718902588,0.09770745784044266,0.001
0.20218932628631592,0.014742988161742687,0.006356958299875259,0.6998273730278015,0.0993984118103981,0.19718731939792633,0.01470999140292406,0.006269997917115688,0.6815051436424255,0.09715257585048676,0.001
0.19535799324512482,0.01377903949469328,0.005519210360944271,0.6769981980323792,0.09896444529294968,0.19058158993721008,0.01385436113923788,0.0054987575858831406,0.6592009663581848,0.09672727435827255,0.001
0.18923316895961761,0.012968422845005989,0.004850635305047035,0.6561108827590942,0.09862983971834183,0.18469925224781036,0.013158554211258888,0.00488282972946763,0.638961672782898,0.09639289230108261,0.001
0.18376341462135315,0.012351716868579388,0.004315378610044718,0.6371060013771057,0.0983193963766098,0.17935393750667572,0.01260822918266058,0.00438189972192049,0.6202656626701355,0.096060611307621,0.001
0.17882119119167328,0.011802098713815212,0.0038855569437146187,0.6197002530097961,0.09804961085319519,0.17453327775001526,0.01213111262768507,0.003969329409301281,0.6032031178474426,0.09579147398471832,0.001
0.17436012625694275,0.011357270181179047,0.003524468746036291,0.6038179993629456,0.09781844913959503,0.17021897435188293,0.011737663298845291,0.00362032069824636,0.5878289937973022,0.09553241729736328,0.001
0.17034950852394104,0.01097775623202324,0.00322578358463943,0.5894331932067871,0.0975816398859024,0.16629818081855774,0.01139543391764164,0.003334971144795418,0.5737307071685791,0.09526792168617249,0.001
0.1667259931564331,0.010655133984982967,0.002977760974317789,0.57633376121521,0.09735021740198135,0.16269025206565857,0.011095106601715088,0.0030946992337703705,0.5606501698493958,0.09502241015434265,0.001
0.16343441605567932,0.010384516790509224,0.002762794028967619,0.5643631219863892,0.09714863449335098,0.1594562828540802,0.010839149355888367,0.0028799374122172594,0.5489027500152588,0.09481193125247955,0.001
0.1604536771774292,0.010124780237674713,0.002574702724814415,0.5535056591033936,0.09697914123535156,0.15651960670948029,0.010595831088721752,0.0026948817539960146,0.538212776184082,0.09461493790149689,0.001
0.15773896872997284,0.009892363101243973,0.0024186945520341396,0.5435781478881836,0.09678095579147339,0.15382656455039978,0.0103719187900424,0.002541592810302973,0.5283659100532532,0.09439713507890701,0.001
0.1552821397781372,0.009652472101151943,0.0022931727580726147,0.5345757007598877,0.09658123552799225,0.15137341618537903,0.010137871839106083,0.0024158095475286245,0.5193880200386047,0.09417709708213806,0.001
0.15304750204086304,0.009446795098483562,0.0021725944243371487,0.5263861417770386,0.09642019122838974,0.14913199841976166,0.009936771355569363,0.0022899762261658907,0.5111953616142273,0.09400632977485657,0.001
0.15100638568401337,0.009245448745787144,0.0020713338162750006,0.5188897848129272,0.09626291692256927,0.14708124101161957,0.00972996186465025,0.002185290679335594,0.503685474395752,0.0938413217663765,0.001
0.14913897216320038,0.009044148027896881,0.001982115674763918,0.5120415091514587,0.09611089527606964,0.14520996809005737,0.00952676497399807,0.0020930026657879353,0.49684691429138184,0.0936741754412651,0.001
0.14743240177631378,0.00885486789047718,0.00190120714250952,0.5057787299156189,0.09597797691822052,0.1434493362903595,0.00933055579662323,0.002004725858569145,0.4904007613658905,0.0935482308268547,0.001
0.14586012065410614,0.008667339570820332,0.0018249371787533164,0.5000233054161072,0.0958675816655159,0.14185507595539093,0.009141608141362667,0.001929315272718668,0.4845866560935974,0.09338730573654175,0.001
0.14442364871501923,0.008482690900564194,0.0017634902615100145,0.49476826190948486,0.09572845697402954,0.14038881659507751,0.008950463496148586,0.0018623324576765299,0.4792447090148926,0.09324325621128082,0.001
0.14311103522777557,0.008302650414407253,0.0017048283480107784,0.48997950553894043,0.0956139862537384,0.1390390247106552,0.00875837728381157,0.0018004926387220621,0.4743419885635376,0.09311456978321075,0.001
0.14189592003822327,0.008116344921290874,0.0016546290135011077,0.48555871844291687,0.09549257904291153,0.13778990507125854,0.008567791432142258,0.0017485423013567924,0.4698081314563751,0.0929759219288826,0.001
0.14077259600162506,0.007914082147181034,0.0016138219507411122,0.48147910833358765,0.09538588672876358,0.13662923872470856,0.008332968689501286,0.0017025622073560953,0.4656447768211365,0.0928516611456871,0.001
0.13974207639694214,0.007715288549661636,0.0015744520351290703,0.4777708947658539,0.09526727348566055,0.13555145263671875,0.008131093345582485,0.0016609918093308806,0.4617764353752136,0.09270290285348892,0.001
0.13878832757472992,0.007527750451117754,0.0015388805186375976,0.4743346571922302,0.09515830129384995,0.13454453647136688,0.007929927669465542,0.0016186959110200405,0.4581606388092041,0.09260796755552292,0.001
0.1379109025001526,0.007340485695749521,0.0014969527255743742,0.4711867570877075,0.09512557834386826,0.13362975418567657,0.007736786734312773,0.0015751533210277557,0.4549078643321991,0.0925227478146553,0.001
0.13709521293640137,0.0071586319245398045,0.0014701982727274299,0.4682862460613251,0.09498123824596405,0.1327614188194275,0.007549467496573925,0.0015468348283320665,0.4518129825592041,0.09237194806337357,0.001
0.13634277880191803,0.006953309290111065,0.0014494556235149503,0.4656180143356323,0.09487679600715637,0.13195273280143738,0.007308227475732565,0.001521989470347762,0.44896769523620605,0.09227649867534637,0.001
0.13564714789390564,0.0067480141296982765,0.0014239101437851787,0.46317076683044434,0.09481608122587204,0.13121357560157776,0.0070872921496629715,0.0014917498920112848,0.4463977813720703,0.09219064563512802,0.001
0.13499963283538818,0.006553772836923599,0.0014010774902999401,0.46091169118881226,0.09472860395908356,0.1305169314146042,0.006890199612826109,0.0014645375777035952,0.4439661502838135,0.09209461510181427,0.001
0.1343960016965866,0.006368935573846102,0.0013771356316283345,0.4588082432746887,0.09466394782066345,0.12985660135746002,0.006691054441034794,0.001437820610590279,0.4416663348674774,0.0920223817229271,0.001
0.13383646309375763,0.006175370886921883,0.0013557254569604993,0.4568776488304138,0.09460634738206863,0.12924325466156006,0.006476612761616707,0.001416656537912786,0.4395609498023987,0.0919322595000267,0.001
0.13331341743469238,0.005983856972306967,0.001340961898677051,0.4550820291042328,0.0945192202925682,0.12867918610572815,0.006273409351706505,0.0013968932908028364,0.4376358091831207,0.09184268862009048,0.001
0.13282032310962677,0.005794754717499018,0.00131783087272197,0.45340901613235474,0.09448601305484772,0.1281438171863556,0.006066289264708757,0.0013714859960600734,0.4358264207839966,0.09179998934268951,0.001
0.13236039876937866,0.005612992215901613,0.0013042958453297615,0.4518526792526245,0.09440098702907562,0.12762612104415894,0.0058669219724833965,0.001357699977234006,0.4340728223323822,0.09168842434883118,0.001
0.13192863762378693,0.0054305545054376125,0.0012933871475979686,0.4503976106643677,0.09431589394807816,0.1271536499261856,0.005680915899574757,0.0013423091731965542,0.432483971118927,0.09159260243177414,0.001
0.1315341293811798,0.005257823970168829,0.001283220131881535,0.44907647371292114,0.09423957765102386,0.12670564651489258,0.005473094526678324,0.0013293399242684245,0.4310021996498108,0.09150668233633041,0.001
0.13115209341049194,0.00507320836186409,0.0012633353471755981,0.44782572984695435,0.09421724081039429,0.12629052996635437,0.005290774628520012,0.0013046521926298738,0.42962971329689026,0.09149368107318878,0.001
0.1308019608259201,0.004905152600258589,0.0012481150915846229,0.4466823637485504,0.09416823834180832,0.12589235603809357,0.005109136458486319,0.001290175598114729,0.4283226728439331,0.09141495078802109,0.001
0.13047358393669128,0.004741115495562553,0.0012377030216157436,0.44560301303863525,0.09411843121051788,0.1255197674036026,0.004912316799163818,0.0012810128973796964,0.4271223247051239,0.09132064878940582,0.001
0.13015925884246826,0.0045676399022340775,0.0012305653654038906,0.44460389018058777,0.09402395784854889,0.12516231834888458,0.0047513628378510475,0.0012681944062933326,0.4259554147720337,0.09123486280441284,0.001
0.12986576557159424,0.004410678520798683,0.0012203125515952706,0.443666011095047,0.09396086633205414,0.12482941895723343,0.004578613210469484,0.0012544177006930113,0.42489004135131836,0.09117140620946884,0.001
0.12959665060043335,0.004252375569194555,0.0012095012934878469,0.4428180456161499,0.09391289204359055,0.12450461089611053,0.0044147600419819355,0.0012425828026607633,0.4238451421260834,0.09109675884246826,0.001
0.1293376237154007,0.004095273558050394,0.0011977868853136897,0.4420182704925537,0.0938681811094284,0.12421131134033203,0.004227510187774897,0.0012309427838772535,0.42295172810554504,0.09103185683488846,0.001
0.12908890843391418,0.003937280736863613,0.0011964793084189296,0.44125235080718994,0.09376505017280579,0.12393549829721451,0.004058508202433586,0.0012245798716321588,0.4221078157424927,0.09092950075864792,0.001
0.12885195016860962,0.003782527754083276,0.0011890659807249904,0.4405214190483093,0.09371161460876465,0.12365555018186569,0.0038954552728682756,0.0012164225336164236,0.4212222397327423,0.09086531400680542,0.001
